timestamp,tlb_invalidations_per_sec,tlb_bytes_invalidated_per_sec,latency_p50_ms,latency_p95_ms,latency_p99_ms,gpu_utilization,gpu_mem_utilization,gpu_pcie_tx_mb_s,gpu_pcie_rx_mb_s,sched_cpu_runqueue_latency_ms,sched_context_switches,sched_cpu_migrations,sched_cpu_pressure_avg10,sched_cpu_pressure_avg60,sched_runnable_pressure
100,2.00,73728.00,32.00,45.00,52.00,82.00,61.00,920.00,870.00,0.80,4200.00,110.00,0.90,0.50,0.90
101,4.00,114688.00,33.00,47.00,55.00,79.00,62.00,905.00,860.00,0.95,4380.00,116.00,1.10,0.60,1.10
102,10.00,294912.00,36.00,58.00,74.00,70.00,63.00,810.00,760.00,1.80,5120.00,152.00,2.30,1.10,2.30
103,18.00,524288.00,40.00,71.00,95.00,58.00,64.00,690.00,650.00,2.70,5980.00,191.00,3.90,1.70,3.90
104,23.00,671744.00,43.00,76.00,102.00,54.00,65.00,640.00,610.00,3.10,6310.00,208.00,4.20,1.90,4.20
105,15.00,442368.00,39.00,63.00,82.00,63.00,64.00,730.00,690.00,2.05,5450.00,167.00,2.80,1.40,2.80
106,8.00,229376.00,35.00,54.00,69.00,74.00,63.00,835.00,795.00,1.40,4860.00,143.00,1.80,1.00,1.80
107,5.00,147456.00,33.00,49.00,58.00,80.00,62.00,900.00,850.00,1.00,4510.00,125.00,1.20,0.70,1.20
108,4.00,114688.00,32.00,46.00,54.00,83.00,61.00,930.00,880.00,0.88,4290.00,118.00,0.95,0.60,0.95
109,2.00,73728.00,31.00,44.00,51.00,85.00,61.00,945.00,890.00,0.78,4180.00,109.00,0.85,0.50,0.85
