timestamp,pid,comm,invalidations,bytes,invalidations_per_sec,bytes_invalidated_per_sec
100,4101,inferd,2,65536,2.00,65536.00
100,4220,allocator,0,8192,0.00,8192.00
101,4101,inferd,3,98304,3.00,98304.00
101,4220,allocator,1,16384,1.00,16384.00
102,4101,inferd,8,262144,8.00,262144.00
102,4220,allocator,2,32768,2.00,32768.00
103,4101,inferd,14,458752,14.00,458752.00
103,4220,allocator,4,65536,4.00,65536.00
104,4101,inferd,18,589824,18.00,589824.00
104,4220,allocator,5,81920,5.00,81920.00
105,4101,inferd,12,393216,12.00,393216.00
105,4220,allocator,3,49152,3.00,49152.00
106,4101,inferd,6,196608,6.00,196608.00
106,4220,allocator,2,32768,2.00,32768.00
107,4101,inferd,4,131072,4.00,131072.00
107,4220,allocator,1,16384,1.00,16384.00
108,4101,inferd,3,98304,3.00,98304.00
108,4220,allocator,1,16384,1.00,16384.00
109,4101,inferd,2,65536,2.00,65536.00
109,4220,allocator,0,8192,0.00,8192.00
